#X--Trace 1::[V(mcu1a)],Y--Trace 1::[V(mcu1a)],X--Trace 2::[V(va)-V(vb)],Y--Trace 2::[V(va)-V(vb)],X--Trace 3::[I(RA)],Y--Trace 3::[I(RA)]
2.1445e-07,5,2.1445e-07,4.52734,2.1445e-07,0.720914
2.1545e-07,5,2.1545e-07,4.55785,2.1545e-07,0.725772
2.1645e-07,5,2.1645e-07,4.58847,2.1645e-07,0.730648
2.1745e-07,5,2.1745e-07,4.6192,2.1745e-07,0.735542
2.1845e-07,5,2.1845e-07,4.65003,2.1845e-07,0.740451
2.1945e-07,5,2.1945e-07,4.68094,2.1945e-07,0.745373
2.2045e-07,5,2.2045e-07,4.71192,2.2045e-07,0.750305
2.2145e-07,5,2.2145e-07,4.74295,2.2145e-07,0.755247
2.2245e-07,5,2.2245e-07,4.77403,2.2245e-07,0.760196
2.2345e-07,5,2.2345e-07,4.80513,2.2345e-07,0.765149
2.2445e-07,5,2.2445e-07,4.83625,2.2445e-07,0.770104
2.2545e-07,5,2.2545e-07,4.86738,2.2545e-07,0.77506
2.2645e-07,5,2.2645e-07,4.8985,2.2645e-07,0.780015
2.2745e-07,5,2.2745e-07,4.92959,2.2745e-07,0.784967
2.2845e-07,5,2.2845e-07,4.96066,2.2845e-07,0.789914
2.2945e-07,5,2.2945e-07,4.99169,2.2945e-07,0.794854
2.3045e-07,5,2.3045e-07,5.02266,2.3045e-07,0.799787
2.3145e-07,5,2.3145e-07,5.05358,2.3145e-07,0.80471
2.3245e-07,5,2.3245e-07,5.08443,2.3245e-07,0.809623
2.3345e-07,5,2.3345e-07,5.11522,2.3345e-07,0.814525
2.3445e-07,5,2.3445e-07,5.14592,2.3445e-07,0.819414
2.3545e-07,5,2.3545e-07,5.17654,2.3545e-07,0.82429
2.3645e-07,5,2.3645e-07,5.20708,2.3645e-07,0.829152
2.3745e-07,5,2.3745e-07,5.23752,2.3745e-07,0.834
2.3845e-07,5,2.3845e-07,5.26788,2.3845e-07,0.838834
2.3945e-07,5,2.3945e-07,5.29814,2.3945e-07,0.843653
2.4045e-07,5,2.4045e-07,5.32831,2.4045e-07,0.848457
2.4145e-07,5,2.4145e-07,5.35839,2.4145e-07,0.853246
2.4245e-07,5,2.4245e-07,5.38838,2.4245e-07,0.858022
2.4345e-07,5,2.4345e-07,5.41827,2.4345e-07,0.862783
2.4445e-07,5,2.4445e-07,5.44809,2.4445e-07,0.86753
2.4545e-07,5,2.4545e-07,5.47782,2.4545e-07,0.872264
2.4645e-07,5,2.4645e-07,5.50747,2.4645e-07,0.876986
2.4745e-07,5,2.4745e-07,5.53705,2.4745e-07,0.881697
2.4845e-07,5,2.4845e-07,5.56657,2.4845e-07,0.886396
2.4945e-07,5,2.4945e-07,5.59601,2.4945e-07,0.891085
2.5045e-07,5,2.5045e-07,5.6254,2.5045e-07,0.895765
2.5145e-07,5,2.5145e-07,5.65474,2.5145e-07,0.900436
2.5245e-07,5,2.5245e-07,5.68403,2.5245e-07,0.905101
2.5345e-07,5,2.5345e-07,5.71328,2.5345e-07,0.909759
2.5445e-07,5,2.5445e-07,5.7425,2.5445e-07,0.914411
2.5545e-07,5,2.5545e-07,5.77169,2.5545e-07,0.919059
2.5645e-07,5,2.5645e-07,5.80086,2.5645e-07,0.923704
2.5745e-07,5,2.5745e-07,5.83002,2.5745e-07,0.928347
2.5845e-07,5,2.5845e-07,5.85916,2.5845e-07,0.932987
2.5945e-07,5,2.5945e-07,5.8883,2.5945e-07,0.937628
2.6045e-07,5,2.6045e-07,5.91744,2.6045e-07,0.942268
2.6145e-07,5,2.6145e-07,5.94659,2.6145e-07,0.94691
2.6245e-07,5,2.6245e-07,5.97576,2.6245e-07,0.951554
2.6345e-07,5,2.6345e-07,6.00493,2.6345e-07,0.9562
2.6445e-07,5,2.6445e-07,6.03413,2.6445e-07,0.960849
2.6545e-07,5,2.6545e-07,6.06336,2.6545e-07,0.965503
2.6645e-07,5,2.6645e-07,6.09261,2.6645e-07,0.97016
2.6745e-07,5,2.6745e-07,6.12189,2.6745e-07,0.974823
2.6845e-07,5,2.6845e-07,6.1512,2.6845e-07,0.979491
2.6945e-07,5,2.6945e-07,6.18055,2.6945e-07,0.984164
2.7045e-07,5,2.7045e-07,6.20993,2.7045e-07,0.988843
2.7145e-07,5,2.7145e-07,6.23936,2.7145e-07,0.993528
2.7245e-07,5,2.7245e-07,6.26882,2.7245e-07,0.998219
2.7345e-07,5,2.7345e-07,6.29832,2.7345e-07,1.00292
2.7445e-07,5,2.7445e-07,6.32785,2.7445e-07,1.00762
2.7545e-07,5,2.7545e-07,6.35743,2.7545e-07,1.01233
2.7645e-07,5,2.7645e-07,6.38704,2.7645e-07,1.01705
2.7745e-07,5,2.7745e-07,6.41669,2.7745e-07,1.02177
2.7845e-07,5,2.7845e-07,6.44638,2.7845e-07,1.02649
2.7945e-07,5,2.7945e-07,6.47609,2.7945e-07,1.03122
2.8045e-07,5,2.8045e-07,6.50584,2.8045e-07,1.03596
2.8145e-07,5,2.8145e-07,6.53562,2.8145e-07,1.0407
2.8245e-07,5,2.8245e-07,6.56542,2.8245e-07,1.04545
2.8345e-07,5,2.8345e-07,6.59525,2.8345e-07,1.0502
2.8445e-07,5,2.8445e-07,6.6251,2.8445e-07,1.05495
2.8545e-07,5,2.8545e-07,6.65496,2.8545e-07,1.05971
2.8645e-07,5,2.8645e-07,6.68484,2.8645e-07,1.06447
2.8745e-07,5,2.8745e-07,6.71474,2.8745e-07,1.06923
2.8845e-07,5,2.8845e-07,6.74464,2.8845e-07,1.07399
2.8945e-07,5,2.8945e-07,6.77455,2.8945e-07,1.07875
2.9045e-07,5,2.9045e-07,6.80447,2.9045e-07,1.08351
2.9145e-07,5,2.9145e-07,6.83438,2.9145e-07,1.08828
2.9245e-07,5,2.9245e-07,6.8643,2.9245e-07,1.09304
2.9345e-07,5,2.9345e-07,6.89421,2.9345e-07,1.0978
2.9445e-07,5,2.9445e-07,6.92411,2.9445e-07,1.10256
2.9545e-07,5,2.9545e-07,6.954,2.9545e-07,1.10732
2.9645e-07,5,2.9645e-07,6.98388,2.9645e-07,1.11208
2.9745e-07,5,2.9745e-07,7.01375,2.9745e-07,1.11684
2.9845e-07,5,2.9845e-07,7.0436,2.9845e-07,1.12159
2.9945e-07,5,2.9945e-07,7.07344,2.9945e-07,1.12634
3.0045e-07,5,3.0045e-07,7.10325,3.0045e-07,1.13109
3.0145e-07,5,3.0145e-07,7.13305,3.0145e-07,1.13584
3.0245e-07,5,3.0245e-07,7.16282,3.0245e-07,1.14058
3.0345e-07,5,3.0345e-07,7.19258,3.0345e-07,1.14531
3.0445e-07,5,3.0445e-07,7.22231,3.0445e-07,1.15005
3.0545e-07,5,3.0545e-07,7.25201,3.0545e-07,1.15478
3.0645e-07,5,3.0645e-07,7.2817,3.0645e-07,1.15951
3.0745e-07,5,3.0745e-07,7.31136,3.0745e-07,1.16423
3.0845e-07,5,3.0845e-07,7.34099,3.0845e-07,1.16895
3.0945e-07,5,3.0945e-07,7.37061,3.0945e-07,1.17366
3.1045e-07,5,3.1045e-07,7.4002,3.1045e-07,1.17838
3.1145e-07,5,3.1145e-07,7.42977,3.1145e-07,1.18308
3.1245e-07,5,3.1245e-07,7.45931,3.1245e-07,1.18779
3.1345e-07,5,3.1345e-07,7.48884,3.1345e-07,1.19249
3.1445e-07,5,3.1445e-07,7.51834,3.1445e-07,1.19719
3.1545e-07,5,3.1545e-07,7.54783,3.1545e-07,1.20188
3.1645e-07,5,3.1645e-07,7.5773,3.1645e-07,1.20658
3.1745e-07,5,3.1745e-07,7.60676,3.1745e-07,1.21127
3.1845e-07,5,3.1845e-07,7.63619,3.1845e-07,1.21595
3.1945e-07,5,3.1945e-07,7.66562,3.1945e-07,1.22064
3.2045e-07,5,3.2045e-07,7.69503,3.2045e-07,1.22532
3.2145e-07,5,3.2145e-07,7.72443,3.2145e-07,1.23
3.2245e-07,5,3.2245e-07,7.75382,3.2245e-07,1.23468
3.2345e-07,5,3.2345e-07,7.7832,3.2345e-07,1.23936
3.2445e-07,5,3.2445e-07,7.81257,3.2445e-07,1.24404
3.2545e-07,5,3.2545e-07,7.84194,3.2545e-07,1.24872
3.2645e-07,5,3.2645e-07,7.8713,3.2645e-07,1.25339
3.2745e-07,5,3.2745e-07,7.90066,3.2745e-07,1.25807
3.2845e-07,5,3.2845e-07,7.93002,3.2845e-07,1.26274
3.2945e-07,5,3.2945e-07,7.95937,3.2945e-07,1.26742
3.3045e-07,5,3.3045e-07,7.98872,3.3045e-07,1.27209
3.3145e-07,5,3.3145e-07,8.01807,3.3145e-07,1.27676
3.3245e-07,5,3.3245e-07,8.04743,3.3245e-07,1.28144
3.3345e-07,5,3.3345e-07,8.07678,3.3345e-07,1.28611
3.3445e-07,5,3.3445e-07,8.10614,3.3445e-07,1.29079
3.3545e-07,5,3.3545e-07,8.1355,3.3545e-07,1.29546
3.3645e-07,5,3.3645e-07,8.16486,3.3645e-07,1.30014
3.3745e-07,5,3.3745e-07,8.19422,3.3745e-07,1.30481
3.3845e-07,5,3.3845e-07,8.22359,3.3845e-07,1.30949
3.3945e-07,5,3.3945e-07,8.25296,3.3945e-07,1.31417
3.4045e-07,5,3.4045e-07,8.28234,3.4045e-07,1.31884
3.4145e-07,5,3.4145e-07,8.31172,3.4145e-07,1.32352
3.4245e-07,5,3.4245e-07,8.3411,3.4245e-07,1.3282
3.4345e-07,5,3.4345e-07,8.37048,3.4345e-07,1.33288
3.4445e-07,5,3.4445e-07,8.39987,3.4445e-07,1.33756
3.4545e-07,5,3.4545e-07,8.42926,3.4545e-07,1.34224
3.4645e-07,5,3.4645e-07,8.45865,3.4645e-07,1.34692
3.4745e-07,5,3.4745e-07,8.48805,3.4745e-07,1.3516
3.4845e-07,5,3.4845e-07,8.51744,3.4845e-07,1.35628
3.4945e-07,5,3.4945e-07,8.54684,3.4945e-07,1.36096
3.5045e-07,5,3.5045e-07,8.57624,3.5045e-07,1.36564
3.5145e-07,5,3.5145e-07,8.60563,3.5145e-07,1.37032
3.5245e-07,5,3.5245e-07,8.63502,3.5245e-07,1.375
3.5345e-07,5,3.5345e-07,8.66442,3.5345e-07,1.37968
3.5445e-07,5,3.5445e-07,8.69381,3.5445e-07,1.38436
3.5545e-07,5,3.5545e-07,8.72319,3.5545e-07,1.38904
3.5645e-07,5,3.5645e-07,8.75257,3.5645e-07,1.39372
3.5745e-07,5,3.5745e-07,8.78195,3.5745e-07,1.3984
3.5845e-07,5,3.5845e-07,8.81132,3.5845e-07,1.40308
3.5945e-07,5,3.5945e-07,8.84069,3.5945e-07,1.40775
3.6045e-07,5,3.6045e-07,8.87005,3.6045e-07,1.41243
3.6145e-07,5,3.6145e-07,8.8994,3.6145e-07,1.4171
3.6245e-07,5,3.6245e-07,8.92875,3.6245e-07,1.42178
3.6345e-07,5,3.6345e-07,8.95809,3.6345e-07,1.42645
3.6445e-07,5,3.6445e-07,8.98741,3.6445e-07,1.43112
3.6545e-07,5,3.6545e-07,9.01673,3.6545e-07,1.43579
3.6645e-07,5,3.6645e-07,9.04604,3.6645e-07,1.44045
3.6745e-07,5,3.6745e-07,9.07534,3.6745e-07,1.44512
